MedianPrice,State,pca1,pca2,pca3
201600,FL,-0.7643166087692074,0.30508643385497003,0.5052623700573127
158000,FL,-0.6243527760104725,0.005888287689309174,0.4488055108649067
195000,FL,-0.6264995097878577,0.09367548138292332,0.42129731474400506
118900,FL,-0.7316777968733381,-0.1066820148701623,0.39874123163035197
220000,FL,-0.9187829489986926,0.7732154171492641,0.4064620593748095
282400,FL,-1.1008234024095527,1.8945321170673781,0.36880898102552573
91100,FL,-0.6107591180805891,-0.27945072941997157,0.37487749924841685
209500,FL,-1.0749345280403213,0.2993913576381426,0.321135238875724
144100,FL,-0.9810079344159851,0.14238143531115252,0.2936938333981827
195900,FL,-0.6485405581058143,0.2776269125063403,0.28089732489691427
366600,FL,-1.0092047754964057,0.8108951685908679,0.31866756988565276
128800,FL,-0.6933819257669974,-0.034324404032498694,0.28441713286489256
103600,FL,-1.1014799057182683,-0.04713246487642337,0.24858311672669647
85000,FL,-0.7917038634797899,-0.14044908625263333,0.22551715075622508
195600,FL,-0.7466073340653482,0.9090582780091576,0.1702434798564635
157200,FL,-0.43057202358437946,0.03702731095688767,0.15913138234123517
232700,FL,-0.8603896525805149,0.22652144131292115,0.1378055016033011
193800,FL,-0.6954108211465985,-0.10221571338180258,0.1367719117562914
98100,FL,-0.5979673198671989,-0.23931801081581153,0.13898185136789484
125900,FL,-0.7435316532648824,-0.10718773998222414,0.10998592252861135
72100,FL,-1.0882497528293127,-0.015480246252700917,0.1491443248015052
170700,FL,-0.6467225484337813,-0.11081467436698884,0.07188824380290969
85900,FL,-0.677406933677271,-0.23566610559358545,0.07699552522812957
94100,FL,-1.025587609641459,-0.04343748159274975,0.08222413729809214
105900,FL,-1.1027368179657149,0.022912141362618373,0.09336955199732362
158400,FL,-0.9290633020589459,0.15574955117206168,0.015859999318009646
120500,FL,-1.0013048489262544,0.12568881556312442,0.056125235709936924
233200,FL,-1.0304260063466315,1.3963553047293615,-0.0026398082129804427
86400,FL,-0.49307210873409396,-0.35115159269737833,0.00322719453660781
101300,FL,-0.486273929569231,-0.2275399988007996,0.008902447760146205
137300,FL,-0.592897368481351,-0.12112577984537044,-0.009120298888860748
100600,FL,-0.695797711787306,-0.18209896057897917,-0.01797861274640004
202500,FL,-0.9377309751834445,0.415399436496123,-0.021318904186316434
235300,FL,-1.1042739656847231,0.9064797462840677,-0.05598232023453851
