MedianRooms,MedianAge,Households,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice
5.1,48.8,187877,34818,38339,2031.879,26.552134,3140.26,1108.38,28,245,1.3,9,5.3,70.20019502472636,-1.104273965684718,0.9064797462862128,235300
5.1,31.3,61961,31778,33729,1727.139,30.45931,1817.626,90.487,40,200,4.0,6,5.3,55.33899283899284,-0.5908169273157712,0.21807825201356465,212900
5.2,47.0,10747,22772,22553,2896.139,29.284409,3659.121,762.981,35,218,3.1,7,5.5,79.95518234874042,-0.7799954515836375,-0.05869699774975682,119000
4.9,40.6,1602,19585,23564,2164.095,30.259849,2183.678,19.583,39,198,4.6,6,4.5,77.54982415005863,-0.595471649569866,-0.27824838840683874,83700
5.2,44.2,4075,18909,19298,1802.498,30.447228,1853.612,51.114,39,205,3.7,7,5.8,68.90986601705238,-0.6573146215579907,-0.21392536008395308,89100
5.1,48.8,99157,35146,35914,1924.182,27.481386,2312.027,387.845,29,241,2.0,9,5.1,71.05569115393796,-1.0143181155125345,0.5315417985763073,250700
5.3,48.7,94676,26990,28421,4103.956,29.202805,4306.141,202.185,34,223,2.3,6,6.0,73.38244605301436,-0.9020779951521564,0.3703357482846178,151700
5.3,52.7,40162,43758,40857,1407.565,27.079954,1949.817,542.252,35,204,1.8,9,4.4,78.82708670276351,-0.886517416507194,0.4440825396215396,293000
4.5,40.2,619475,29598,32089,4915.061,25.610494,6296.734,1381.673,32,214,1.3,9,9.0,54.64916049541427,-1.1404836063432982,2.3214262566441284,310700
4.0,47.9,19513,47382,49365,2546.689,25.601043,9680.143,7133.454,33,205,1.3,9,4.3,58.43517443845157,-1.0009998953990051,0.6681716056479402,558100
6.1,45.8,24357,37787,43105,1679.968,30.605926,1880.126,200.159,39,197,2.6,6,4.3,83.27010532764673,-0.570851349186186,0.22752641393151407,243700
5.5,36.9,51719,34357,40093,2409.329,30.665858,2802.57,393.241,42,184,6.3,7,4.4,66.77726672163556,-0.36465265637930383,0.06980511859423162,234600
5.0,40.9,9837,23133,25237,1991.463,27.385592,2310.028,318.565,32,220,1.4,7,4.9,73.9963052585018,-1.0174369999445811,0.04063539164337943,116500
5.4,35.3,309344,31409,42962,2339.87,28.514435,2598.431,258.561,35,211,1.9,6,7.1,57.65876482851544,-0.9323396013469247,1.2082403887918582,257800
5.3,36.0,81168,24146,34258,3438.086,28.059027,3900.278,462.192,34,217,1.6,7,8.5,64.3597784193731,-0.9157271444581296,0.3832649801794345,221600
5.3,44.5,139278,29498,31050,1934.426,28.302024,2249.285,314.859,32,228,2.1,7,5.6,71.71071292384622,-0.9836338212681555,0.5337224947423902,173900
4.8,48.4,232884,36754,37188,709.136,27.903122,1575.042,865.906,29,249,2.2,10,5.2,68.41013256332852,-1.041164346806835,1.09079711282039,219800
5.4,40.2,165183,25820,32157,4656.376,27.953115,5207.302,550.926,35,210,1.8,7,6.7,67.46945329263328,-0.9706025884235373,0.6859633963273388,162400
5.5,45.0,18179,22257,24855,1884.533,29.606006,2141.717,257.184,38,200,2.1,5,7.5,71.03672004417449,-0.7638730813449829,-0.045127147409005135,103400
5.0,56.6,117532,44402,41359,1439.691,27.184386,1878.632,438.941,28,246,1.7,10,5.1,75.31487161012329,-0.992675228048775,0.6821821970160321,269300
5.8,39.3,120049,36016,43571,800.879,28.690079,894.308,93.428,34,217,1.8,6,5.3,67.22327378328623,-0.8853855538346966,0.5874288930634955,263700
5.2,68.0,39605,35879,37241,1416.549,28.714294,1501.741,85.192,34,221,2.0,6,6.7,87.51462352209086,-0.9041268294792657,0.23506324952661786,267100
5.3,43.5,10655,23389,22571,1783.341,30.189244,1792.935,9.594,39,207,3.5,6,5.3,78.62548913934906,-0.6672317147471051,-0.12780393527142364,107100
4.9,43.2,5117,19492,22045,2702.148,30.016943,3191.386,489.238,36,212,3.8,7,6.4,75.47264234875445,-0.7001159533824072,-0.17520269563281346,81900
5.2,39.8,2873,20663,36070,630.806,30.05428,646.856,16.05,40,200,2.5,6,4.5,71.48002966415933,-0.667536387914631,-0.1278117164717842,112600
5.4,46.5,136510,29859,31908,2851.659,29.057617,3709.99,858.331,35,208,2.0,6,5.9,70.5339709774846,-0.8681097571471758,0.5931576865950879,194900
5.3,42.3,8362,28320,41141,1570.617,30.140378,1905.521,334.904,37,207,4.4,7,3.8,84.2691682470875,-0.5753405261107445,-0.05197557768853925,171200
5.1,44.1,20034,35996,35479,2687.436,30.631211,3210.536,523.1,40,188,5.8,7,4.6,74.68624679034073,-0.38624592545979103,-0.003514747595917807,245400
5.5,41.3,5945,19375,25629,1509.454,30.602217,1595.314,85.861,41,189,5.6,7,5.5,77.31371405499978,-0.5616127778313074,-0.3146642966533106,120800
5.8,41.8,66993,34175,35268,1439.268,39.469354,1740.023,300.755,44,183,5.0,10,10.8,68.3759659969088,0.2747349997650698,0.3640956417735456,216600
5.8,41.9,246196,52800,55939,603.49,40.95909,638.875,35.385,47,168,4.6,8,6.5,69.07606092173397,0.6182752093817543,1.20369136175138,477400
6.5,41.6,116972,44735,52105,2068.303,39.875786,2123.372,55.069,45,179,4.4,8,5.6,78.04632751458523,0.3926186241773858,0.6987701033250743,259600
6.0,38.8,126330,36559,38560,573.068,39.802352,588.685,15.617,45,179,4.3,8,7.1,70.26972959023428,0.2963912024885509,0.5590905657131832,200400
5.9,37.6,34348,28311,31419,1252.784,39.328387,1755.03,502.246,44,180,4.5,9,7.9,66.83396586513597,0.2610840892276026,0.1391528542692049,166400
5.0,37.7,187965,39695,36457,326.888,40.787217,335.742,8.854,47,167,4.5,8,8.9,49.58899349416663,0.5573731953000336,0.7788168695782419,395900
6.6,40.4,75282,40557,45235,833.99,39.721019,873.286,39.296,45,180,5.0,8,6.2,82.96252479209437,0.3623165385372012,0.4650096489488632,224300
4.1,35.3,160586,42822,61215,119.634,40.731384,161.39,41.756,46,170,5.0,9,7.6,34.25264316018718,0.48407855035816777,0.7395921618170695,400800
7.1,46.6,35085,58795,61739,1108.046,40.565283,1132.957,24.911,49,156,4.3,8,4.9,86.75926462432435,0.8910487034686692,0.5964934775642061,418700
5.9,38.8,87704,44532,42757,581.601,40.282503,592.819,11.218,46,173,5.0,8,5.5,66.30403468488385,0.5700610863731154,0.5139774196143291,290100
5.6,39.0,208863,40933,50876,800.083,40.439593,836.118,36.034,46,170,4.4,8,6.2,65.83410101233223,0.4300193429097528,0.9159255714298232,351400
6.3,43.4,162745,53886,53855,1214.167,40.287056,1723.169,509.002,45,174,5.2,10,5.9,78.34929455572383,0.4983821556137353,1.0177255465318935,435300
6.7,42.8,130676,58981,64115,1191.852,40.858581,1247.403,55.55,49,154,4.4,7,5.3,77.9557862519646,0.8969127168928046,0.8942607163986805,462100
6.0,42.4,150317,37041,39558,1628.535,39.86585,2370.877,742.342,44,184,4.5,11,6.1,78.63917698929245,0.3536086995579003,0.7722769496057137,286700
5.1,37.3,123240,33863,43436,478.093,41.033763,510.5,32.407,50,154,5.0,7,9.1,53.03709009096501,0.7218954915471448,0.4228896875674686,352000
