MedianRooms,MedianAge,Households,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,Desempleo,Ti,MedianPrice,State
1.62924053973028,3.456316680883235,10.835710686941,10.302968122297036,10.340063655669343,7.725900294715863,3.390329877000316,7.827720053289065,5.492695121108719,3.610917912644224,5.337538079701318,1.029619417181158,1.5260563034950492,4.040903711157084,201600,FL
1.7749523509116738,3.632309102625542,8.771525284186465,10.087931854711062,10.559166483481166,7.323659707279586,3.411954054001298,7.330029649848828,2.2706815439810373,3.688879454113936,5.288267030694535,1.0647107369924282,1.5686159179138452,4.358447042346993,158000,FL
1.6094379124341005,3.703768066607687,10.767052385387204,10.334425456617325,10.498966775917914,7.582942643226251,3.409084959439556,7.892023860716372,6.5673093577232695,3.610917912644224,5.298317366548036,1.7404661748405046,1.62924053973028,4.210547210861586,195000,FL
1.6863989535702288,3.683866912290392,8.67965211911394,9.952420563645306,10.053587180780166,6.635102367438998,3.3994269487035327,6.657063228412608,2.8276094361598494,3.6635616461296463,5.313205979041787,0.9932517730102834,1.62924053973028,4.1823200131501945,118900,FL
1.7047480922384253,3.8543938925915096,11.911258533774792,10.424124883686112,10.54262723226472,7.874951269967892,3.342800884065656,8.302166360224973,7.245684311104172,3.49650756146648,5.393627546352362,0.7419373447293773,1.62924053973028,4.329980426493779,220000,FL
1.547562508716013,3.701301974112493,13.011326783248268,10.435967030196949,10.608390364106926,8.049851296610306,3.265512051932102,8.139206470559103,5.679725410062409,3.5263605246161616,5.3230099791384085,0.4700036292457356,1.88706964903238,4.142467059858208,282400,FL
1.667706820558076,3.735285826928092,7.920446505142607,9.878784939895755,9.873801242165769,7.292601947109429,3.4140741523826947,7.304827935446247,2.8945297680448285,3.6635616461296463,5.288267030694535,1.5260563034950492,1.5686159179138452,4.362767690723954,91100,FL
1.589235205116581,4.085976312551584,10.839894587995108,10.412561643263311,10.39662770624607,7.474155997132436,3.290966729823237,7.706607965683847,6.1335607195688695,3.4011973816621555,5.438079308923196,0.5877866649021191,1.7047480922384253,4.388914191976581,209500,FL
1.7047480922384253,4.037774210733707,10.598208494084364,10.246154845820252,10.224011865791892,7.317601442901851,3.361889102008373,7.602312964312358,6.207051620016544,3.49650756146648,5.41610040220442,0.7884573603642703,1.9600947840472696,4.406776506419626,144100,FL
1.840549633397487,3.683866912290392,10.961052126766717,10.374646763839657,10.64034056535614,7.355823833881778,3.4007678227482674,7.4186501003539185,4.620019388838297,3.6635616461296463,5.293304824724492,0.8754687373538999,1.4586150226995167,4.34621718197717,195900,FL
1.589235205116581,3.937690752176724,11.493956689922612,10.753317917710014,10.67690049281473,8.551717509132887,3.262652030606241,8.694495841207262,6.677492697397843,3.4339872044851463,5.365976015021851,0.3364722366212129,1.547562508716013,4.255150280176566,366600,FL
1.6486586255873816,3.703768066607687,9.663960521971394,10.109240764646255,10.197313214435868,7.633228303775911,3.408547139234524,7.637923640111516,2.2744942128275203,3.6375861597263857,5.327876168789581,1.1939224684724346,1.7227665977411035,4.279661607871334,128800,FL
1.589235205116581,3.7062280924485496,9.024733424190698,9.808792183696804,10.117711441675684,7.408516021334295,3.302870626566139,7.412311289734532,1.836573485017848,3.4339872044851463,5.41164605185504,0.5306282510621704,1.5260563034950492,4.247092170652296,103600,FL
1.6486586255873816,3.832979798087693,8.371010681238156,9.899027621814035,10.166044106207172,7.509926324184006,3.3871288489776843,7.712820775745987,6.018018840329228,3.5263605246161616,5.41164605185504,1.1314021114911006,1.6486586255873816,4.439716451705593,85000,FL
1.7047480922384253,3.591817741270805,12.324122312303988,10.380746051458171,10.582992094054914,7.587851667221797,3.412310237840961,7.774343450580093,6.003178173925822,3.610917912644224,5.3230099791384085,0.8754687373538999,1.7227665977411035,4.080371630306931,195600,FL
1.7047480922384253,3.6189933266497696,11.212941365260347,10.28075892627351,10.48799105597933,7.438517050541813,3.421381112799628,7.725539287546082,6.337262803757882,3.737669618283368,5.214935757608986,1.8082887711792652,1.7578579175523736,4.161146067865101,157200,FL
1.7227665977411035,3.947390149265437,10.360627548882317,10.395802913543022,10.49166303072945,7.1367520666372055,3.3835388501489443,7.298735316495899,5.398574381471813,3.555348061489413,5.3612921657094255,0.6931471805599453,1.7749523509116738,4.299542999202117,232700,FL
1.589235205116581,3.856510295497887,7.98139158158007,10.173934448966204,10.506463824584774,7.233405597885822,3.394849811731592,7.88555758039475,7.149662486676569,3.5263605246161616,5.365976015021851,1.5040773967762742,1.547562508716013,4.331713287182221,193800,FL
1.667706820558076,3.7232808808312687,9.329722128996265,9.956412015844014,10.196418326423576,7.198402700437473,3.4203190582097425,7.221748896747672,3.4527773016353347,3.688879454113936,5.2832037287379885,1.5040773967762742,1.9315214116032136,4.295707329168253,98100,FL
