MedianPrice,State,pca1,pca2,pca3
216600,NJ,0.2747349997650639,0.3640956417688746,0.4333858065345818
477400,NJ,0.6182752093817502,1.2036913617583538,0.3262468267380231
259600,NJ,0.3926186241773846,0.6987701033229649,0.3348781891469993
200400,NJ,0.2963912024885534,0.5590905657131919,0.3085158060960402
166400,NJ,0.2610840892275951,0.1391528542591436,0.2414728879378977
395900,NJ,0.5573731953000297,0.7788168695809201,0.1134372254282337
224300,NJ,0.3623165385372049,0.4650096489508014,0.0465575189178764
400800,NJ,0.4840785503581681,0.7395921618271541,-0.0559927438359637
418700,NJ,0.8910487034686593,0.596493477566781,-0.0488892181163877
290100,NJ,0.5700610863731115,0.5139774196202624,-0.1639690426467049
351400,NJ,0.4300193429097605,0.9159255714271878,-0.1723909041673483
435300,NJ,0.4983821556137389,1.0177255465287576,-0.1967519165548121
462100,NJ,0.8969127168927978,0.8942607163959845,-0.187259242060784
286700,NJ,0.3536086995578981,0.7722769496019156,-0.190287585084676
352000,NJ,0.7218954915471437,0.4228896875636919,-0.2281365329431036
185700,NJ,0.3080240737915157,0.1266727170734543,-0.306251657550362
436700,NJ,0.6593599525514224,0.7509727791201607,-0.3899778621897607
271500,NJ,0.9606243334129984,0.3112268123174404,-0.3595532351301017
378700,NJ,0.4304305494174703,0.6742773286532168,-0.4712584861962471
265700,NJ,0.8267604508000956,0.1981270774617025,-0.4450839917038174
