Median_rooms,Total_population,Renter_occupied,Total_Household,PerCapita_income,Nonfamily_households,Gini_Index,Poverty_Status,Unemployment_ 16YearsAndOver,Median_Price,State,Year
0.368421052631579,0.05280553596082134,0.027642778449072432,0.05749873653928391,0.42249566290487006,0.07342530591027543,0.6440391759540693,0.05245844622832556,0.04691375800930683,0.3715007776049767,Florida,2011
0.3421052631578949,0.13865037367588123,0.08928539697206625,0.16074174862963106,0.37374134816590054,0.22235179852670603,0.5521783181357647,0.1385914818741597,0.11909732903116022,0.32328926905132194,Florida,2011
0.3421052631578949,0.05121228136514978,0.021887660814556828,0.06022781168603973,0.19208413070305655,0.06947189866145018,0.4035798716649779,0.0510683652805125,0.05203840540345963,0.17048989113530327,Florida,2011
0.5,0.05449829986503589,0.029177624564645677,0.06407184232010263,0.25589755513029167,0.047478505913011365,0.2971968929415736,0.05400597244894715,0.046795950023234355,0.24552877138413687,Florida,2011
0.2105263157894739,0.6412121855413712,0.4697673075556188,0.6488216770983167,0.29547690161500906,0.8444628359199196,0.5150287065180679,0.6444900699154246,0.6483169820211924,0.3464230171073095,Florida,2011
0.42105263157894735,0.31632055854943436,0.2703283815480845,0.324265443377522,0.2538765582243844,0.4152582368350855,0.4552516041877741,0.31475179930776437,0.29641143784647,0.23950233281493,Florida,2011
0.3947368421052633,0.009766285804002043,0.004506805743123179,0.008980290012828986,0.09069447176864057,0.008696811966922704,0.3508949679162443,0.008276161252381781,0.009817332172706507,0.14444012441679627,Florida,2011
0.5789473684210527,0.06880442145656566,0.03345120477645888,0.07955837188508338,0.25845509988732496,0.0532136823457795,0.26139817629179296,0.06914988902165152,0.059159243672729414,0.2562208398133748,Florida,2011
0.44736842105263164,0.002367952990328432,0.0008151787618167602,0.0018442638883489483,0.12523026845277488,0.0014295192301115572,0.24957784532252614,0.0021574864105282643,0.0014529651615605632,0.2068429237947123,Florida,2011
0.5263157894736843,0.025863943502300136,0.012098852086146849,0.030803561015433658,0.30706633519932747,0.023888018713706285,0.36136440391759517,0.025952291464484124,0.020256428716351093,0.30171073094867806,Florida,2011
0.23684210526315796,0.337080043076474,0.2708281505437487,0.3513555961590794,0.30463398494089033,0.5977305527246363,0.5038838230327589,0.3359156601949554,0.2719597358483157,0.24455676516329705,Florida,2011
0.42105263157894735,0.10042737405254239,0.05682928779586325,0.1106744936438207,0.19625131901346735,0.1089512527102727,0.38061465721040166,0.10062697624670663,0.11835121178603451,0.21481337480559876,Florida,2011
0.2894736842105263,0.01359297154697171,0.0070722865875328745,0.012110562531586518,0.047556024538121716,0.008053870303618942,0.3471800067544748,0.012933325105789387,0.018960540869553833,0.109447900466563,Florida,2011
0.368421052631579,0.04968168077856083,0.029981697348781013,0.05675076779535824,0.34934630586804494,0.06874687933900125,0.6673421141506246,0.04980169749190802,0.050487266920172004,0.25699844479004663,Florida,2011
0.2894736842105263,0.48177210599289283,0.3182617812211245,0.5019041324884345,0.3891939262783253,0.6837308399964434,0.6511313745356295,0.48197849993174874,0.44433899902481166,0.36839035769828926,Florida,2011
0.47368421052631593,0.0677676818827456,0.03652089700760537,0.07615130428021614,0.4380913204442616,0.07512157753260877,0.5511651469098275,0.06787424573055914,0.043981648133725154,0.4521772939346812,Florida,2011
0.18421052631578938,0.9112376967796576,0.7771430094534083,0.8829529992613614,0.19939906640673907,0.87775900631314,0.6278284363390743,0.9048877220735654,0.81102944545163,0.3882192846034215,Florida,2011
0.47368421052631593,0.03399127413929977,0.014857576942213378,0.03988959297127085,0.21919768211328314,0.03320725292914646,0.32117527862208695,0.034183949183696744,0.026657329292955736,0.29976671850699843,Florida,2011
0.3421052631578949,0.0034382308866574237,0.003211848745468761,0.0037227384053181976,0.15756621894729314,0.004630547936772844,0.5153664302600471,0.002822421553173307,0.0030368280854238794,0.2391135303265941,Florida,2011
0.3157894736842104,0.004621654552329733,0.0023722368327528612,0.0037771644053959494,0.05875198969828124,0.0039055286143239195,0.5352921310368117,0.0035284944155545457,0.004496338135099581,0.05540435458786935,Florida,2011
0.2894736842105263,0.002244119184141607,0.0008995841921956074,0.0011880418302686311,0.0731851268935668,0.0017373104519059117,0.49476528199932446,0.0016963699702125508,0.004614146121172059,0.06512441679626749,Florida,2011
0.2894736842105263,0.03245072262185652,0.009015832681782642,0.043068071375811534,0.23019691306136322,0.04010861610226876,0.2752448497129347,0.02946470477141452,0.017638473470296026,0.2715785381026439,Florida,2011
0.42105263157894735,0.01621743742154428,0.010801673892956144,0.01564980756521401,0.0976159390481641,0.01899413828717605,0.5562310030395134,0.015645048794945295,0.01599570655339647,0.1203343701399689,Florida,2011
0.3421052631578949,0.00656061185693952,0.002854236264126804,0.006285425494693464,0.05732119542861233,0.006323399656641793,0.31340763255656845,0.005988530055779008,0.00410364484819132,0.07717729393468117,Florida,2011
0.3157894736842104,0.22620050609697218,0.14140575023100435,0.24865995412665706,0.29951889542682375,0.2812527786707523,0.5197568389057747,0.22653495116765676,0.2224542021454143,0.26030326594090203,Florida,2011
0.368421052631579,0.12084778982454666,0.06411480915487953,0.14109551763013645,0.18115643946845997,0.14490810722078207,0.4110097939885171,0.11953798600943548,0.11251971647544685,0.1844867807153966,Florida,2011
0.2894736842105263,0.11715746868958034,0.06326187006894592,0.1254223846363177,0.44955555952998405,0.1300520509155079,0.7281323877068557,0.11768379678714408,0.08944898586958656,0.5250777604976672,Florida,2011
