MedianRooms,MedianAge,Households,MedianHouseholdIncome,MedianFamilyIncome,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice,State
5.6,40.7,17184,44374,53544,23482,26992,1848.743,34.483477,1874.733,25.991,45,187,5.7,6,5.3,70.78399851609115,-0.1625154247118987,-0.2118195278749965,108100,SC
5.7,42.0,3897,32851,48750,19510,16798,1062.373,34.15864,1065.088,2.715,40,204,5.1,7,6.5,77.71333885666944,-0.2805037109023881,-0.2546292474489143,79000,SC
6.0,39.1,78043,62740,76204,32355,37960,1810.175,33.892554,1962.509,152.334,41,196,5.1,8,3.8,76.16074484836037,-0.2084855207965694,0.2276104329042854,163200,SC
5.8,40.7,7315,30791,41449,18785,15340,1267.093,34.080701,1279.805,12.712,40,197,4.4,7,7.8,64.79677963900792,-0.2698637816158427,-0.2295461908106966,81800,SC
5.3,40.5,5730,31528,40650,16092,17676,1242.35,34.601805,1256.854,14.504,40,208,4.8,7,8.1,65.68290433470277,-0.2978884399201279,-0.2628761337925672,71500,SC
5.7,56.6,2592,47402,63433,26857,32947,930.142,33.897605,1020.125,89.983,42,196,5.7,7,6.0,79.91140907458399,-0.1870654000682584,-0.242845863387999,114700,SC
5.5,42.2,10080,46038,58904,26501,26250,1631.788,34.28973,1676.463,44.675,42,199,5.3,7,4.2,74.21645906755266,-0.2030764287391652,-0.1708623353300395,118500,SC
5.7,46.1,21559,49691,64712,31297,25909,1622.197,34.748759,1744.389,122.192,41,202,6.6,5,4.2,74.2337387352493,-0.0590456373936121,-0.1779914369629473,164000,SC
5.5,40.5,19954,36802,50281,21337,19071,2864.788,33.436135,2921.253,56.465,41,195,5.0,8,8.3,66.41820368407892,-0.3116778800303829,-0.1057853362221759,91700,SC
5.7,36.4,30716,51032,68896,28382,25813,1285.687,34.887362,1326.148,40.46,41,204,5.9,6,4.1,70.42123232951822,-0.0371030524717167,-0.1036361417072592,159200,SC
5.8,33.7,92773,54441,72446,30990,35860,1960.798,34.029783,1998.723,37.926,42,195,4.9,7,5.3,61.38452076285984,-0.2945039311255235,0.3169553785131263,167500,SC
5.5,42.7,5453,43410,48935,23097,25610,1172.691,34.005278,1196.11,23.419,43,192,5.3,7,3.9,73.81203271614231,-0.1889515014956576,-0.2680480934147134,110100,SC
5.6,38.0,80467,53757,65214,27788,30229,2092.519,34.933239,2121.829,29.31,43,195,5.3,6,4.8,72.14015813348922,-0.0355271830513969,0.0911569184599253,153000,SC
5.6,36.5,27434,46570,56849,24541,25364,1722.512,33.916046,1766.592,44.079,42,194,5.1,7,5.7,66.69738597855408,-0.2377656369542479,-0.079439278159282,119800,SC
5.5,44.4,7730,41117,53152,24142,20752,1331.697,34.690514,1336.502,4.805,42,197,5.5,6,7.4,66.19246238641442,-0.1728057830489069,-0.2749320496419946,80300,SC
5.6,43.3,8110,35681,49741,19438,14848,2419.46,33.626463,2426.929,7.469,40,196,4.7,7,7.3,74.86943164362519,-0.2536454941157443,-0.2029092397529159,73900,SC
