MedianRooms,MedianAge,Households,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Longitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,Desempleo,Ti,pca1,pca2,MedianPrice,State
5.3,40.7,14485,21145,26436,2113.999,34.934403,-77.933543,2128.127,14.128,42,193,4.3,4.9,71.01075195295807,-0.1809017520081081,-0.0820294648662898,89500,NC
5.3,35.5,74763,36759,43493,740.673,36.036589,-78.877919,771.471,30.798,42,198,4.3,5.0,57.97743302287765,0.0275185498972092,0.3163300270680932,241800,NC
5.3,41.7,14346,21595,21756,1308.815,35.917055,-77.602655,1312.217,3.402,40,202,4.0,9.0,60.27144218242626,-0.1412257430483762,-0.0991790592885211,88500,NC
5.5,38.4,92950,31201,32677,1057.097,36.131667,-80.257289,1068.878,11.781,41,204,4.7,5.7,65.01106125458844,-0.0153599643772625,0.228671044275933,163800,NC
5.7,41.3,18813,27588,34147,1273.451,36.088241,-78.28309,1280.746,7.295,41,201,4.1,5.5,72.6237571637009,-0.0550930155989694,0.0223711798333618,161500,NC
5.4,40.0,56299,28526,29242,922.106,35.293344,-81.177256,943.02,20.913,42,198,5.3,6.0,67.23612542994518,-0.1437616888609513,0.0347092086023269,156800,NC
5.9,47.2,3074,26053,38838,881.748,36.442135,-76.702355,895.326,13.578,40,204,4.0,5.1,76.88148600331385,-0.0142806858482252,-0.090721177905179,142400,NC
5.2,46.4,2295,23034,22336,756.482,35.348111,-83.830909,781.31,24.828,48,170,7.0,8.2,85.02323364708685,0.2306613461453432,-0.4702576675928288,119000,NC
5.9,43.1,15563,27723,33767,1376.759,36.299884,-78.657634,1389.525,12.766,41,202,4.2,4.5,76.25944135670515,0.0556005558927371,-0.0259452106194493,168900,NC
5.4,40.5,4677,19415,22069,688.749,35.481933,-77.681667,689.971,1.222,41,197,3.9,4.8,69.14997292907418,-0.1762436947049935,-0.135616038220612,87500,NC
5.5,37.4,129970,31798,35354,1672.365,36.079065,-79.788665,1703.248,30.884,41,205,4.5,6.4,61.66379616719976,0.0065205344201918,0.407170083964273,172900,NC
5.3,43.9,13699,21902,19554,1875.375,36.251438,-77.644842,1893.746,18.371,40,204,4.1,8.0,61.11358394367337,-0.110977155056629,-0.1126551183211454,85800,NC
5.9,34.7,31740,24693,30858,1541.009,35.368635,-78.87161,1557.37,16.361,40,202,4.3,6.1,64.80554368398559,-0.1660110672847621,0.0502196038971952,160700,NC
5.4,47.7,17221,30336,28844,1434.055,35.557097,-82.972807,1436.472,2.417,54,157,6.0,5.2,74.85215294635148,0.3168957268770991,-0.2217479277264197,185600,NC
5.7,47.6,33448,32306,33879,966.242,35.336424,-82.479634,971.844,5.602,40,208,5.5,4.8,75.5079488005012,0.0206199123245947,-0.0467837805386749,232000,NC
5.5,42.8,5296,21715,28047,914.422,36.363517,-76.981616,933.313,18.892,40,204,4.0,6.6,64.95905453191885,-0.0497302662529631,-0.1463947323393024,89800,NC
5.7,33.0,12403,23066,27897,1012.022,35.017233,-79.241964,1016.042,4.02,41,199,4.4,7.1,68.91838538043581,-0.2065314063702402,-0.0638594221766483,146200,NC
5.3,40.9,1468,17942,24914,1586.885,35.408157,-76.153687,3688.209,2101.324,41,194,4.6,6.3,56.89731159100926,-0.0941385437738727,-0.1128052190517473,122300,NC
6.0,40.8,49826,35261,34616,1486.221,35.806356,-80.874545,1545.971,59.749,41,202,4.9,5.3,73.16225939208323,0.0296112276951189,0.1015188881321408,200800,NC
4.8,38.5,9921,25738,31532,1271.049,35.286463,-83.130641,1280.865,9.816,49,169,5.7,5.2,61.28252273127976,0.2532304807218,-0.2789041636289972,206900,NC
5.8,38.4,51865,29327,32490,2049.455,35.513405,-78.367267,2060.346,10.891,41,199,3.9,4.9,75.37811332734768,-0.1346961580751221,0.2092691790296605,180200,NC
5.4,48.1,2621,22917,17328,1219.129,35.03216,-77.356443,1225.622,6.494,40,197,4.0,4.9,75.97639484978541,-0.169912888801545,-0.1539600905335918,92200,NC
5.5,39.4,15527,25502,30984,660.342,35.476075,-79.17222,670.918,10.577,42,199,4.3,6.1,63.37152263921914,-0.0281972280768273,-0.1032179789174224,145600,NC
5.2,42.3,14022,24894,23760,1037.527,35.238062,-77.639023,1043.296,5.768,40,200,4.2,5.5,58.14667465983614,-0.1776616578015915,-0.1042468251431965,94000,NC
5.9,43.6,23783,33197,30682,771.656,35.487825,-81.225176,795.233,23.577,44,189,5.3,4.8,77.53843584880904,-0.036645549491538,-0.0452790872559618,187000,NC
5.1,50.4,9945,29549,22971,1335.29,35.152959,-83.421901,1345.985,10.694,48,178,7.3,5.0,74.30852744349025,0.2448240944620167,-0.3453084427720357,171700,NC
5.6,44.6,5315,27184,21027,1164.38,35.86408,-82.712731,1169.216,4.837,49,170,5.0,5.1,77.26475745178259,0.2855217231235472,-0.2582160713339748,200700,NC
5.7,46.4,6199,24108,26051,1194.547,35.841059,-77.112867,1195.302,0.754,41,200,3.9,6.1,65.14707189193992,-0.0747039511712206,-0.1517707889846504,86400,NC
5.5,44.2,13340,25432,25895,1141.169,35.682232,-82.048029,1155.126,13.957,41,204,5.5,5.4,74.5621765755994,0.0655464698028907,-0.251492221505786,129400,NC
5.6,35.2,256164,40627,48524,1356.746,35.246862,-80.833832,1413.899,57.153,42,199,4.5,5.7,59.73095382951396,-0.1254302149519366,0.984080133743059,253500,NC
5.4,47.2,4074,26975,25402,573.488,36.013102,-82.163554,575.202,1.714,49,177,5.5,6.1,77.79677242888403,0.3441469127441921,-0.3116524340765775,164200,NC
4.9,43.9,7017,23863,23064,1273.652,35.338071,-79.904196,1299.641,25.989,41,200,4.7,5.5,72.33416172815905,-0.017882881604185,-0.2071070750563603,120500,NC
6.1,44.1,26473,36184,34175,1807.404,35.310163,-79.480664,1828.151,20.746,41,200,4.6,5.4,78.02249440704458,0.0038845229969606,0.116601856642043,229400,NC
5.5,41.7,25100,27286,26380,1399.646,35.965945,-77.987555,1405.764,6.118,41,197,4.2,6.7,66.77398722993702,-0.0897397494308428,0.0169930609989721,133900,NC
5.4,49.9,5321,23946,24351,1389.758,36.421774,-77.398352,1426.059,36.301,40,204,3.8,6.9,70.71823204419888,-0.0900689466248816,-0.1278076760079037,83600,NC
5.5,26.5,47027,24817,35210,1975.497,34.76346,-77.503297,2346.304,370.807,39,195,4.2,5.9,55.09779208210483,-0.1843409266821429,0.1160917993842177,162400,NC
5.7,35.1,32907,42872,40837,1030.706,36.062499,-79.119355,1039.692,8.986,41,201,4.4,4.2,67.21088030031059,0.1185600751261808,0.2779117082394837,331800,NC
5.2,54.0,3534,28257,19941,871.627,35.147462,-76.665069,1467.876,596.248,39,199,4.7,4.8,77.58793969849246,-0.1216496227247592,-0.0672636864538448,161600,NC
5.8,39.6,9825,26898,26199,587.617,36.265276,-76.260355,749.638,162.021,40,204,4.6,6.3,61.24047644597059,-0.0289351029302496,0.0046391987138855,166600,NC
5.7,42.7,15165,30666,32416,2252.759,34.512581,-77.888029,2415.904,163.146,41,192,4.2,5.0,79.89488598919205,-0.1144327639664844,0.0660608629454253,198100,NC
5.9,50.2,4084,28160,30432,639.957,36.178261,-76.404269,852.018,212.061,40,203,4.3,5.9,78.12290502793296,-0.0117132368553625,-0.0522671712334245,173200,NC
5.8,43.6,10746,31605,30242,1016.109,36.386387,-78.965471,1046.559,30.45,41,202,4.3,5.5,79.42554335304509,0.0956931985636314,-0.06339829102273,134100,NC
5.1,32.7,42411,27599,33035,1688.606,35.591065,-77.372404,1695.988,7.382,40,199,4.1,5.7,54.22799222438211,-0.1110044677511003,0.1043788522400999,146700,NC
5.7,53.7,5564,32327,32737,615.871,35.278928,-82.167667,617.803,1.932,39,210,5.5,5.1,78.79858657243817,-0.0201592391515784,-0.1779397146926385,222700,NC
5.5,41.8,39042,25246,27672,2026.711,35.709915,-79.806215,2044.407,17.696,42,201,4.6,5.4,72.96747251818624,-0.0851755777701943,-0.0335977974712854,128800,NC
5.3,40.8,12024,22068,20039,1227.192,35.001957,-79.747809,1242.982,15.791,41,201,4.9,8.1,69.33213329640911,-0.2019789206373845,-0.1950444606855763,88200,NC
5.2,36.7,30468,19388,19334,2458.47,34.63921,-79.100881,2463.045,4.574,40,202,4.6,8.1,66.98956373769622,-0.2703496309500341,-0.1003337136457336,75600,NC
5.5,45.0,25659,25268,26378,1464.77,36.380927,-79.782889,1483.3,18.53,40,203,4.5,6.2,69.83662575796491,0.0084214555974563,-0.1118420913578089,114900,NC
5.5,40.3,36796,26789,29128,1324.451,35.639218,-80.525344,1356.441,31.99,42,198,4.8,5.8,71.28831031907572,-0.102791597553622,-0.0393131901859955,146600,NC
5.6,45.2,17592,24308,22782,1461.144,35.402747,-81.919583,1465.544,4.4,41,202,5.3,7.3,72.15211121453969,-0.0345098026543893,-0.2242809152650046,125100,NC
5.7,40.3,16139,23502,23012,2446.866,34.990575,-78.371382,2451.671,4.806,41,194,4.0,5.1,71.33365508365507,-0.1742734079828322,-0.0709226619128861,97500,NC
5.2,39.1,8211,20975,21606,825.804,34.840023,-79.477337,829.635,3.832,39,208,4.3,10.5,59.63106618208472,-0.2861313084839175,-0.2027300834992865,87600,NC
5.4,42.0,16640,26956,29165,1023.267,35.310523,-80.254355,1048.529,25.262,42,199,4.7,4.9,74.96121315249486,-0.0913633182730547,-0.0967568256951642,150400,NC
5.5,46.6,13074,27979,31618,1162.535,36.404195,-80.239271,1180.074,17.539,41,206,4.7,5.1,78.55861839920291,0.0343416880873493,-0.1377383001154915,145000,NC
5.3,44.0,19808,26074,20168,1378.304,36.415416,-80.686463,1389.02,10.716,40,206,4.8,5.0,74.96017929887374,0.0384884526787338,-0.1504027550164104,129700,NC
5.1,42.3,3863,24234,22202,1367.504,35.568849,-83.465614,1400.263,32.758,46,180,5.6,5.2,73.09375224158956,0.2034757337363221,-0.3425171855338529,149300,NC
5.0,51.9,9799,30577,32223,980.383,35.210095,-82.816696,985.524,5.141,40,206,5.7,4.8,74.98700901727037,0.0109435142059937,-0.2070872693048347,231300,NC
5.5,46.7,1087,21129,20982,1007.595,35.87042,-76.165345,1539.018,531.423,42,195,4.4,8.2,72.786783042394,-0.0101276833751198,-0.1853554298156795,110900,NC
6.8,38.6,62077,37667,39404,1635.63,34.991501,-80.530131,1656.366,20.736,42,195,4.6,4.6,82.43940263723836,-0.023616212820662,0.2882938572933894,254100,NC
5.4,40.6,10932,23911,22995,656.607,36.365481,-78.405434,698.83,42.223,41,201,4.2,8.7,58.1434003506455,0.0298113816081048,-0.172516878687892,103700,NC
6.0,36.4,270784,42721,52013,2163.206,35.789846,-78.650624,2220.453,57.247,40,204,4.2,4.8,67.16180703642175,0.0597097171251859,1.1206752805171205,301600,NC
5.4,48.1,5013,25340,22271,1109.696,36.397979,-78.099924,1149.338,39.642,41,201,4.2,8.4,69.92081628314821,0.0443216688410479,-0.1961108839767885,89500,NC
5.3,46.9,2819,23249,18344,901.665,35.844589,-76.572334,1097.758,196.093,40,200,4.2,7.2,64.90896599106836,-0.0861617907136415,-0.2137351707223073,86400,NC
5.4,32.7,11125,27962,26306,809.516,36.235371,-81.709919,811.838,2.322,44,189,5.2,4.4,60.94624521844172,0.2638048597063053,-0.1634283728872551,246000,NC
5.6,37.6,32136,26362,29439,1432.489,35.362741,-78.004826,1442.241,9.753,40,201,4.2,5.6,63.75887816426881,-0.1410915753370778,0.0124725608187082,125900,NC
5.3,45.1,19256,25634,22273,1953.571,36.209303,-81.165354,1960.415,6.843,41,204,4.9,5.3,77.33426254059104,0.0997612316313029,-0.1873666970915424,129200,NC
5.3,40.5,20655,24656,24539,953.567,35.704125,-77.918982,967.963,14.396,40,202,4.2,6.8,59.75236453140423,-0.108196557455402,-0.0521342293336533,127100,NC
5.4,44.4,10345,26907,27214,867.204,36.158765,-80.665164,874.136,6.932,40,208,4.7,4.9,78.4560047243249,0.0071865372622118,-0.1759233393589507,138500,NC
5.4,47.9,5057,25767,21891,809.623,35.889504,-82.30398,811.082,1.459,49,172,5.4,5.1,73.16220028208744,0.2824048817813765,-0.3354211544604911,166900,NC
